id,artist_name,artist_image
54,milet,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/milet_s_20220728.jpg
55,miwa,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/miwa_s.jpg
56,DJ和,https://rijfes.s3.amazonaws.com/2022/img/artists/0614_k8JXxdQBEx/djkazu_s.jpg
57,雨のパレード,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/amenoparade_s.jpg
58,Awich,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/awich_s.jpg
59,KICK THE CAN CREW,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/kickthecancrew_s.jpg
60,キュウソネコカミ,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/kyusonekokami_s.jpg
61,9mm Parabellum Bullet,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/9mmparabellumbullet_s.jpg
62,Creepy Nuts,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/creepynuts_s.jpg
63,KREVA,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/kreva_s.jpg
64,シシド・カフカ directs el tempo,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/shishidokavkadirectseltempo_s.jpg
65,(sic)boy,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/sicboy_s.jpg
66,スキマスイッチ,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/sukimaswitch_s.jpg
67,ストレイテナー,https://rijfes.s3.amazonaws.com/2022/img/artists/0602_fujowBt7XV/straightener_s.jpg
68,sumika,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/sumika_s_20220519.jpg
69,This is LAST,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/thisislast_s.jpg
70,Tempalay,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/tempalay_s.jpg
71,10-FEET,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/10feet_s.jpg
72,NUMBER GIRL,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/numbergirl_s.jpg
73,THE BACK HORN,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/thebackhorn_s.jpg
74,BUMP OF CHICKEN,https://rijfes.s3.amazonaws.com/2022/img/artists/0602_fujowBt7XV/bumpofchicken_s.jpg
75,04 Limited Sazabys,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/04limitedsazabys_s.jpg
76,BLUE ENCOUNT,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/blueencount_s_20220606.jpg
77,変態紳士クラブ,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/hentai_s.jpg
78,POLYSICS,https://rijfes.s3.amazonaws.com/2022/img/artists/0807_GqRbMPMef8/polysics_s.jpg
79,MY FIRST STORY,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/myfirststory_s.jpg
80,マキシマム ザ ホルモン,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/maximumthehormone_s.jpg
81,優里,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/yuuri_s.jpg
82,夜の本気ダンス,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/yorunohonkidance_s_20220802_2.jpg
83,リュックと添い寝ごはん,https://rijfes.s3.amazonaws.com/2022/img/artists/0808_Utmk4bUn4C/sleepingrices_s.jpg
84,DJ和,https://rijfes.s3.amazonaws.com/2022/img/artists/0614_k8JXxdQBEx/djkazu_s.jpg
85,ACIDMAN,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/acidman_s.jpg
86,アンジュルム,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/angerme_s.jpg
87,androp,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/androp_s.jpg
88,UVERworld,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/uverworld_s.jpg
89,WONK,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/wonk_s.jpg
90,THE ORAL CIGARETTES,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/theoralcigarettes_s.jpg
91,OKAMOTO'S,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/okamotos_s.jpg
92,感覚ピエロ,https://rijfes.s3.amazonaws.com/2022/img/artists/0810_pfG7EeEYR4/kankakupiero_s.jpg
93,きゃりーぱみゅぱみゅ,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/kyarypamyupamyu_s.jpg
94,Crossfaith,https://rijfes.s3.amazonaws.com/2022/img/artists/0808_Utmk4bUn4C/crossfaith_s.jpg
95,Cocco,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/cocco_s.jpg
96,G-FREAK FACTORY,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/gfreakfactory_s.jpg
97,SIX LOUNGE,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/sixlounge_s.jpg
98,女王蜂,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/ziyoouvachi_s.jpg
99,-真天地開闢集団-ジグザグ,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/zigzag_s.jpg
100,SKY-HI,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/skyhi_s.jpg
101,HYDE,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/hyde_s.jpg
102,PassCode,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/passcode_s.jpg
103,バックドロップシンデレラ,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/backdropcinderella_s.jpg
104,BE:FIRST,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/befirst_s.jpg
105,"Fear, and Loathing in Las Vegas",https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/fearandloathinginlasvegas_s.jpg
106,FOMARE,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/fomare_s.jpg
107,BREIMEN,https://rijfes.s3.amazonaws.com/2022/img/artists/0811_a3ETGd2D/breimen_s.jpg
108,HEY-SMITH,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/heysmith_s.jpg
109,Base Ball Bear,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/baseballbear_s.jpg
110,モーニング娘。'22,https://rijfes.s3.amazonaws.com/2022/img/artists/0602_fujowBt7XV/morningmusume_s.jpg
111,ONE OK ROCK,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/oneokrock_s_20220711.jpg
112,DJ和,https://rijfes.s3.amazonaws.com/2022/img/artists/0614_k8JXxdQBEx/djkazu_s.jpg
113,神はサイコロを振らない,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/kamisai_s.jpg
114,KALMA,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/kalma_s.jpg
115,関ジャニ∞,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/kanjani8_s_20220601.jpg
116,KEYTALK,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/keytalk_s.jpg
117,Kroi,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/kroi_s.jpg
118,桑田佳祐,https://rijfes.s3.amazonaws.com/2022/img/artists/0528_HEQ7Nkf4ET/kuwatakeisuke_s.jpg
119,go!go!vanillas,https://rijfes.s3.amazonaws.com/2022/img/artists/0602_fujowBt7XV/gogovanillas_s.jpg
120,kobore,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/kobore_s.jpg
121,サイダーガール,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/cidergirl_s.jpg
122,櫻坂46,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/sakurazaka46_s.jpg
123,サンボマスター,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/sambomaster_s.jpg
124,ジェニーハイ,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/geniehigh_s.jpg
125,SCANDAL,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/scandal_s.jpg
126,鈴木愛理,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/suzukiairi_s.jpg
127,Chilli Beans.,https://rijfes.s3.amazonaws.com/2022/img/artists/0601_JfJmGpDgh2/chillibeans_s_20220620.jpg
128,DISH//,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/dish_s_20220803.jpg
129,TOTALFAT,https://rijfes.s3.amazonaws.com/2022/img/artists/0524_cwsABDCR/totalfat_s.jpg
130,ねぐせ。,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/neguse_s_20220801.jpg
131,ネクライトーキー,https://rijfes.s3.amazonaws.com/2022/img/artists/0525_WEh53pqs/necrytalkie_s.jpg
132,ハンブレッダーズ,https://rijfes.s3.amazonaws.com/2022/img/artists/0602_fujowBt7XV/humbreaders_s.jpg
133,BIGMAMA,https://rijfes.s3.amazonaws.com/2022/img/artists/0526_bVklrWxI/bigmama_s_20220620.jpg
134,ポルカドットスティングレイ,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/polkadotstingray_s.jpg
135,Mr.ふぉるて,https://rijfes.s3.amazonaws.com/2022/img/artists/0519_YlhUx12G/mrforte_s_20220608.jpg
136,MONGOL800,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/mongol800_s.jpg
137,ヤバイTシャツ屋さん,https://rijfes.s3.amazonaws.com/2022/img/artists/0517_4t5gpdRg/yabaitshirtsyasan_s.jpg
138,RAISE A SUILEN,https://rijfes.s3.amazonaws.com/2022/img/artists/0518_JBkynMp1/raiseasuilen_s.jpg
139,WANIMA,https://rijfes.s3.amazonaws.com/2022/img/artists/0531_q1xj1WWCBS/wanima_s_20220804.jpg
140,DJ和,https://rijfes.s3.amazonaws.com/2022/img/artists/0614_k8JXxdQBEx/djkazu_s.jpg
